item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
Shawarma de frango,00c4f683d57f07a0b517b6b0e993b1da46c520c237637eb31668a823570815af,9f784eb948c812f725b41dd1e6dc6791040d04052a9a432872de4bc2cb41ae76,Faláfel Haüs,Principais,40,SAO PAULO
FRITAS SIMPLES,00c5b3dca9e3b61e00fdf24071a7209f92f9cd8dc64806fd58e21886598b98a0,7b53a6cd45721eea7d87ed826cb4ed4897bc1805c28fa60b96acd05c57bc922e,Altas Horas Delivery,Porções,20,SAO PAULO
Combo pequeno,00c67f0d279f16142d584ae6527f5726540cbf11113005e5e87e00ffc6baacb4,473afc983fa7747c0398c0cb3f85625438816e7ab7f8313a78d3898e9c1c54f5,O Frangão Delivery,Combos (coxa e sobrecoxa),39,SAO PAULO
sobrecoxa,00c6a79b92a65585aef836389ae7a7031097422320c0d18a589b7c5c22ef997b,70dbc3d6dde62f35db23cec16b5c405f4132521375abdefd92ee7c66855b9752,Galeteria Cristofoli,Carnes,4.2,PORTO ALEGRE
Bisteca com fritas,00c6b471149e57837e3cf7341aa9d2a20d253d6b4026a9e195f06e886f8e6126,ad6b49a29d52fb15dd0b90e18cabb04e6aa2857634c7e4c7e5c441b5d4b843c2,Cantina Do Sabor,Pratos diários,17,SAO PAULO
Requeijão Duplo,00c6bb49fcc56e061a1d1a8c1d0b8f2d07573cde4f542a978a4183118157d2ae,66b4e348278bfffcb2555c40badb25641eb6124888583d0ea2290440a164b39e,Super Hot Dog,Hot Dogs,14,SAO PAULO
Requeijão Duplo,00c6bb49fcc56e061a1d1a8c1d0b8f2d07573cde4f542a978a4183118157d2ae,66b4e348278bfffcb2555c40badb25641eb6124888583d0ea2290440a164b39e,Super Hot Dog,Hot Dogs,13,SAO PAULO
NOVIDADE HOT HARUMAKI - 10 UNIDADES,00c799e16bee8a9147510e1b1c7d57cd9e9f96154c7f08a89332debb925a6279,d2e898797565cc6e6436391730615f950c116c1e48cd238365362c43d98248e4,Saru-sam Temakeria,Hot Roll,39.9,SAO PAULO
COMBINADO TOTVS,00c7b097edde0a1f5bf6fe242cf99339034bf587d0a3fc519dcc4ca866cf60fe,0164ba5bf42aff4f9acc150999f487d11adb044ad1a6afd85763a3dbb01dc4c8,A&c Sushi Bar - Santana,ALMOÇO EXECUTIVO,33,SAO PAULO
32 - Esfiha de Frango com Queijo,00c83a8b874ab892cfdccd61e93ae389a43fab430534ecf9e9f71289e8ff7e8e,ccb966dce32bb2afb46459b8be3f9a7ada18f77ff569357ead6dc6aca690607b,Esfihão E Restaurante Michelle,Esfihas Salgadas ,2.5,SAO PAULO
Milk Shake Chocolate 350 ml,00c83c732b402f2a42049842b33ed533b0d973002dad0fc28f744e06d803f000,c31168e67ff9c43c1aeeaedfc86270d04a6b44907549dc5b395a8fb186eca4cb,The Fifties - Alameda Santos,Bebidas,18.9,SAO PAULO
H2OH! 500ml,00c8885fd221b95f76499e9bfb515278e8e88303714188d8b873c96d030082d9,552f23a4b8d894c710e59ee841db1fe7f1340d41b60939f09f39eb1d6f6c6843,Sheriff's Grilled Burgers,Bebidas,7.5,SAO PAULO
OREO®,00c8ad915595136825497f5d47d1d2faf6b9f69743cc7283d7bec97e95315b5e,76ef5d713a265d53cdfa176e257cab86c77adbaa3d005bd0b3edfba1b0df7e19,Pizza Prime - Bela Vista,Fominha de Pizza,31.36,SAO PAULO
Pizza Calabresa Grande ,00c8e0dcd5a09741ffb181ba2bd442e082ff8ba912cfb9858491a483e9f995cf,e4a4510c2a3791c68a21fb43806481d38464a50973657fb5ff670c78a792e8a4,Pizzaria Atlântico - Paissandu,Fominha de até 50%,32.9,RECIFE
Sanduíche Atum,00c96ae1fd540a9af386b73ea349f46fc1f23a6deb240786e414003df8712670,845a9ba44f0ba81eb8f4578d3c30af68ffe11f5c51ea01cbc7d033cdea147b7c,Subway - Ipanema,Sanduíches Preferidos,17,PORTO ALEGRE
Sanduíche Atum,00c96ae1fd540a9af386b73ea349f46fc1f23a6deb240786e414003df8712670,845a9ba44f0ba81eb8f4578d3c30af68ffe11f5c51ea01cbc7d033cdea147b7c,Subway - Ipanema,Sanduíches Preferidos,14,PORTO ALEGRE
Hot-Dog de Double Bacon + Refrigerante,00c9b05a6063f7968f5c98e92b5a7f5be51d8794dd67e9eb0806c3d5304a7163,d5b57ea47b366d9733d777c18b698bdb44cb815432408e50d15366ff67c79ba1,Dogão Lanches,COMBOS DOG,25.99,SAO PAULO
Hot-Dog de Double Bacon + Refrigerante,00c9b05a6063f7968f5c98e92b5a7f5be51d8794dd67e9eb0806c3d5304a7163,d5b57ea47b366d9733d777c18b698bdb44cb815432408e50d15366ff67c79ba1,Dogão Lanches,COMBOS DOG,23.99,SAO PAULO
Porção de polenta frita,00ca0b8d1c2fa1b14cc1ae87f10a8e2fc88f47cf19f878fc8326993261342c53,fe0ab98373d4483848e61816d7ef0f5ea5bc4d297c1e67c1de7126087d555ee3,Restaurante Dona Rai - Self Service,Porções diversas,18.99,SAO PAULO
Porção de polenta frita,00ca0b8d1c2fa1b14cc1ae87f10a8e2fc88f47cf19f878fc8326993261342c53,fe0ab98373d4483848e61816d7ef0f5ea5bc4d297c1e67c1de7126087d555ee3,Restaurante Dona Rai - Self Service,Porções diversas,17.99,SAO PAULO
Combo  Mini com Creme de Avelã (10cm ),00ca15e1f29f1de540a1662803fa242147393b3b58fc75c4a23ce8f311d8046f,e55bec9da385f61e0ec7c8d3d602072d9b8553bf36b9f1a7cf26e4abc847cb29,Fogazza Crazy Delivery,COMBOS  duas fogazzas de 10cm,12,SAO PAULO
Combo  Mini com Creme de Avelã (10cm ),00ca15e1f29f1de540a1662803fa242147393b3b58fc75c4a23ce8f311d8046f,e55bec9da385f61e0ec7c8d3d602072d9b8553bf36b9f1a7cf26e4abc847cb29,Fogazza Crazy Delivery,COMBOS  duas fogazzas de 10cm,10,SAO PAULO
Contra-filé c/ fritas,00ca2429f6c5129fd387034c55509979ea289f77db1f464a2fed3b87a8c6b348,3759f1581548fb7c41f5cb67b734a5b87ffbc63f751224d2864041b729fc991a,Restaurante The Best,Marmitex ,21.99,SAO PAULO
Pudim de Leite Condensado,00ca42ea4c5694fce439d7c65fabacc84329636c975d1165219ec91fd9a723df,b3b4640c8c294618763580889981fed8e4f1c2f6071e6d1645b2ea2b65ec6562,Divinno Sabor,Sobremesas,5,SAO PAULO
cerveja long neck,00ca534c613ab67f8191bfd90b1add1297ed9bb2f0a4cf547c24e0f9b36a4773,55db1b6cae94c60e4d0d6213f368becec6b4b3aa7dea5477f81b3540178fb19a,Millano Pizzaria,Bebidas ,8,SAO PAULO
Feijoada média,00ca54a260f5196f654aee08d6f1d16a9e93be6c7b699fbb517965d981bc49fa,07941bcb9f8ffa45057ff1b2b0a280de82ec5ffb7fc7e87315668d0bcddb59d5,Bom Apetite,Pratos,25,SAO PAULO
Feijoada média,00ca54a260f5196f654aee08d6f1d16a9e93be6c7b699fbb517965d981bc49fa,07941bcb9f8ffa45057ff1b2b0a280de82ec5ffb7fc7e87315668d0bcddb59d5,Bom Apetite,Pratos,28,SAO PAULO
Harumaki Carne ou Queijo - 1 unidade,00ca85b31348237efe0148452e0a01f9b08e613171d9273b53ad93cb621a4cbf,d59b4eb275d77092a79389da62bfe3ce33c379f0c9a2519a1b05163dd93cb874,Tanaka Culinaria Oriental,Entradas,6.5,SAO PAULO
calabresa,00cb07017cb78636bfd2931dadf0f83771c2a3b948c72fabc95cc1337815b573,4e51f9876fd9caf4ba56e4f75fff0f0fc467ac762b749edac287aea9abab4078,Sabore Pizzaria,Pizzas em PROMOÇÃO ,0.01,SAO PAULO
Massa aos 4 queijos com contra (INFORME O PONTO DA CARNE NOS COMENTÁRIOS),00cb9458dffa90db2edeb72703ee737cccbd6724b7fe582c6149e28025fe590d,149afecf61b3f44911fdf26b7e61f0c1a232748edf3ab2d800171012908303f5,Petiskeira,Massas,36.9,PORTO ALEGRE
COMBO Nº7 ,00cba5046cfeb88c79e2b0f273327fedad8fe98d97f305ce366be7ae7e7971ae,a2580563b8cb94e8b06aa42a7f50cdc5b7ace04eb24dad1638b1b3756f71313b,Barriga Burguer,Combos,25,SAO PAULO
H2O limonetto,00cbbee2f17b3f63c96d0d0b6d45ab4b6825c6c1ab1f5c1bdc14c1aa42d0a249,d7c3b9f4643617688e31f148ff507106a653c98afbf285d1af5b7df32795fed9,Artesão Pizzaria,Bebidas,7.5,SAO PAULO
Harumaki - 4 unidades,00cbdcdc1c54184b54f8efb3faa4386403fe4885aa30ae34fd6f3a57bd18eb7c,20dc344cc3e34de13bb97e83fbbb3d7b2d3754e14727a799178a9fc1f5fe0162,Japa In Kaza,Pratos quentes,14,SAO PAULO
Bife  de figado,00cbe8938fdc96709a78002ff9b86545750ce6fa7a1eb95d26ce115ebd67a82b,0aef551dc4e38e3fc9228b0a64123141db7a4f3ef724e886d03217ed958698f5,Restaurante Plenitude,Marmitas (500g),15,SAO PAULO
Hot Dog de 2 Queijos+refrigerante,00cc1e0f9fd33023d24a69e2810f31504558243ceefe61ffdafd2f9266fc2f0e,5505871676936537c6c0e3871e5b748fefd033297eabd92641a2759d4dd23431,Altas Horas Hamburgueria,hot dogs,18.9,SAO PAULO
Porção de Camarão Empanado,00cc4027c5be71ae89f320718eaf7d0214dc865b05fb86b2622521fb03a05065,c03127d741ba91d8d108fc50e57379f09a935e7f9d12141f73ec01b470382821,Churrascaria Grill Da Mooca Ii,Entradas,35,SAO PAULO
Esfiha 2 queijos,00cccddd11bf74bec318ab2381498cf17b6fe30f99b2c79b38d824b2a3a1dc20,e111b6fcb325fe836282d18622727a08cc78e13035b7f9e1e0ee95fce4f6f0ba,Leopoldina - Pizza & Esfiha Delivery,Esfihas,5,SAO PAULO
PÃO LOW CARB DE SEMENTES INTEIRO,00cce00690c5fa8c4206b5a9f93a70e1d2e7497566ccf7e48a845c3bbdf9175d,66fcf252f3594cbf0cd59065b681cc1cdca69d5ef70a410b9d8fb1667aa520ad,Club Life To Go - Paraíso,Pães,40,SAO PAULO
Empanada de Strogonoff de Carne ,00cd2f61c91123f17221a22340fb54784873c797ff653f191f9c8cdbf31dcd68,c81ac14267e0b09299fbba45182ce5e4f3c143717336b61b81a52ba6a0629f13,Panas - Gastronomia Argentina,Empanadas ,8.5,PORTO ALEGRE
Empanada de Strogonoff de Carne ,00cd2f61c91123f17221a22340fb54784873c797ff653f191f9c8cdbf31dcd68,c81ac14267e0b09299fbba45182ce5e4f3c143717336b61b81a52ba6a0629f13,Panas - Gastronomia Argentina,Empanadas ,9.5,PORTO ALEGRE
PAN MÉDIA BUONA - PREMIUM,00cdbf37ff0e0422536cc2b955bb599528fe5a07728b952a53aed838b8d1c6d9,d780cc98b25677fd306cce5c647bf983ed5aea846659098d827c6a7476f5bc11,Domino's Pizza - Chácara Klabin,Pizza pan,38.9,SAO PAULO
Bombons de morango ,00ce44002492dba706019d6335a4cc9fa20f47d2f6939ebb3b3b1c4c78827640,7060395e5c439992f4749fd27785fd93371a40be5ce4530021e96b5fa21e8683,Mimi Doces,Bolos de Pote,5,SAO PAULO
Costela com mandioca + SUCO natural 300ML +DOCE,00ce9ccfc1a1714613df7a2be8c07fbcbd60734d0d5c3b1da53c82e1aabf32ad,c7018eae48b7732a5ef0ef1db7bfe11344a74e45cb5bced41916781a57da27ef,Marmitex Da Maria,Quarta-feira,15,SAO PAULO
Carne Seca,00ceab6b2806746a9dc354145bc0162af52529a617c82945f3b9c3c351a8c95d,68371a563fd60fadc107cfc2c49311b5a7b6e3323a9dc66d989793d075da8e02,Pizzaria Corazzato,Esfihas Barco,5.5,SAO PAULO
04. Hawaii,00cfdc61040f58969f4ace02b7ea777544a487c688da8ee191dc0c9abb19c7f4,6f8c0be8482592833dc58ecbd47225c718489e3d3b3e5065b145b9693b06e62f,Aloha Frutaria Burguer,Hambúrgueres,22,SAO PAULO
09 - kani keijo,00d00cc330af29e3920cbb837d2f548b62ff34100fed3baf54266caf4340606f,52cea7951b4a102cd5d71f0fa7298f8131e9779a1bd230591685f667ead82e34,Tsu Temakeria,Entradas,8.9,RECIFE
Refrigerante 2 litros,00d08e8da9a66186839fd6e018345e3a00a9cb046ecee4d4463ba2185697a26f,6448619eb793a38d298dd8fa0645b861e9deede7f31ae0c7dd53ccd8d467ae44,Restaurante Roperto,Bebidas,13,SAO PAULO
Bolinho de bacalhau (pague 5 leve 6),00d0c3bca8dd97db8974bf5f2d8db229dba08f227151ced08ff6c8ee13f54e62,1fcc6c109f6af286acfc28f600f5cfc3d40377aefe946c308a4229f3357e5320,Habib's - Satélite,Esfihas e Salgados,14.88,SAO PAULO
Esfiha de Cheddar com Bacon,00d0c3bca8dd97db8974bf5f2d8db229dba08f227151ced08ff6c8ee13f54e62,1f992a32fabc9d916748185a68348d191f77c5e4ca346f706187d8077f3fa3b7,Habib's - Itapecerica,Esfihas e Salgados,2.48,SAO PAULO
Salada Andaluzia pote grande 1000ml(17% off),00d0ce3d0e02fc77b0640a5357eecd725c6d51f3c1dd4b2a8b4cd0dc628ac670,fbd27960cad75f2f9830672400996447fc186750834b250d11fca8e70f4092f2,Vert Food,Promoções,19.9,RECIFE
Porção picadinho B&B,00d0d217150c94ca52665cfd29d0224a2e2312dc3b3f6a8d565105f65fb48149,329d78971c7e096a7088161b38f99d8afa6e397ba4220d8e149cbdf67e251756,Biere Baguette,Porções,53,PORTO ALEGRE
Teppan de Salmão,00d0dadb5b69b9a019d7c9c7cd60de629481517e7dc4229d4f7a56163f3e73d6,8e6e8de8904c1166ba70e659d2473eb87d4abdde1825fd3006bc031d5c95f4ac,Top Temaki,Promoção,35.9,SAO PAULO
Batata de Frango com Bacon c/ queijo a sua escolha,00d0f2e830427d34d72fee1a9a1bd589d2dbc8c96ce80ffff75ba73e472e901f,f0286d4a10a7a86155d2ee15334d221bbe275974d0d13508fcd68a74243feade,Supreme Batataria,Sabores de Batata Rosti,18.9,PORTO ALEGRE
Contra filé acebolado,00d172eeda1053d2a111422544d7da8045a6d6cf869752833b27e4d36d8b3e89,ad17d5ab908ef6cdfe9cecefddcd1f2926248abac8e62233c68d86af1a239f23,Rápido Marmitex,Pratos,15,SAO PAULO
19 - pastel calabresa i,00d17b2f40bf555d3f6aea00637468b61025c512c81834b75750de175e6e7cfd,a9ab8698cd14d3bb6748644979e587835590849c8b6eee7d641a49fe081a9d7f,Sabor Nobre,Pastéis salgados,6,SAO PAULO
DUAS Coxinhas de Frango com Cremely pelo PREÇO de UMA,00d2407e85c07a929f80cb4dba157f286d308b6c22811f17ab7a0456b098bb84,affe8cf76330c8ec05090e9f8eae79ad0324c132082a1a45964847ea34bcc748,Ragazzo - Alameda Santos,Fominha de até 50%,1.98,SAO PAULO
Prato Espeto de Frango,00d2407e85c07a929f80cb4dba157f286d308b6c22811f17ab7a0456b098bb84,85734adb869ba40cb54875e06ebc84786162915c84c8d34c4eae7a6a63745d81,Ragazzo - Rudge Ramos,Pratos,16.9,SAO PAULO
Beirute salame,00d250318f03035159f68d1e7baae5d19f7b9a3dc4f845a5b1e59c7c9b454544,71743af680a5203715824440382574074bade656e17dd52f1f716a34a82dd69a,Pizzaria Primos,Beirutes,24.9,SAO PAULO
Macarrão com filé de frango,00d26f77220e77efb8565431ef73b70716822094e63dd9bd3619d504ed5d19f0,316020fe340952a62526ac0142f9cce0a8a812cda52226fd92020b9ac76bc2d3,Tony's Grill,Pomoção do dia,22,SAO PAULO
DUPLO CHEDDAR,00d29557d3c486dc4ac2f22a2a7a65371b7cab58d253b693e5b38333648608e1,c4f08d25e219fa67ac0cc513af1ad4724598554d32526c99e5431ad71b99234b,Monster Dog,LANCHES,7.9,SAO PAULO
Fanta laranja,00d356b9839e96940334118f285dbb77f5bf4658e1d632030308d9609fb64184,e9afcdd4829ea7c3d821215787b6bf4f743bb8edc8138f37926194371ce2246c,Arz Lebanon,Bebidas,6,SAO PAULO
Feijoada tamanho familia,00d37f04c1f3331acd86292249f8b642af4cc4796d47420a6dacac48225219c0,f41962b035d678d887bc11dd48f60feba77199baa096991c6ab0713b164a85e1,Central Park Delivery,Feijoadas ,134.9,SAO PAULO
Espaguete ao alho e óleo,00d3b71995dc39373b0bc8164f7e801d010922cd571d9e13569c0d77af88a253,7a31715b8d0dc9bbeaa03d1a82141b9d1fe7fe3f8d31054ddaa5f70f98f4a68c,Lupi Delicia,Massa,13.5,SAO PAULO
Tortas,00d3bd5256fee1553f018a4a79bf9930f0701389e3ef3cb518b3aab52ba6b8c1,e55e3fb2b327235f23ba5a4ef23058461dfc4c59997db13a7a689c8ef9ee1b25,Bella Napoli Ii,Sobremesas,7,SAO PAULO
Charuto de Folha de Uva,00d3c36a41feed571f9e879b980a071db57e481d5f6d67780481f1b514ab7c85,3d029a4e11d6c93ffe41339b0de66ea032ae6d506a302823ec063483772afe23,Manish Restaurante,Combinados,53.98,SAO PAULO
Combo temaki + suco de limão,00d3e207d40e659a62e967cb8eacc2f84a3513d3c4fd6eae9df8dcffd9faf181,ff798848ade5a245391959c6f40529fd7acea4f470c5b942be0e7f7031a085b3,Sushimi,Terça do combo,48,RECIFE
Salada de palmito,00d428ade8986fbd38f5f73a2b3349c758ec560128eba809ddf66bbb12fbaa38,bc0c64b4d39cc730b69a06627d5ddf9e26c8d71c1f441eb347e3cb4bd6ae39bb,Magic Chicken  - Ipiranga,Saladas,51.7,SAO PAULO
bolinho de carne 50,00d45fcf0c346753fca5561dd0918f42b30e4253cb7306d1ecaa1f6835be5754,4933117bb4813679dd9a153833c4bb2fbb1b51bf943f8cd05061bf6c318a5834,Solange Salgados Bolos & Doces,salgados,20,SAO PAULO
02- Fogazza atum e mussarela,00d4936677e1db009ec488e9a39e2e216824590def9953485462c048f1d47013,d8ac899315e834e0cfecc406fbad5430f5e3c106727a5b943598221bcceccf9e,Pizzaria Jordano,Fogazzas assadas,11,SAO PAULO
Carne seca,00d4a3d35054c757e5afbe54fda2d0d497c34ecbe25bc9e7cb89a8feb33fed1e,7b48daaca8bc6470c698f8a1211df816a71094eaf7b77b3a1321ec6b49358e3a,Gamela Mineira,Pratos,49.1,SAO PAULO
Delícia de abacaxi,00d4f9dad867675dc8bb730ecfbe6774a568e6b0f49223228e3900b8bbc958a9,caa8d78233a859dcd9693bb0ddd133701fa20db1fb484167e67c0d9a660e04c8,Comadre Maria,Sobremesas,4.5,RECIFE
2.trouxinhas de salmão e camarão,00d513312427df62bdac3f39be7b813168e4ea04bdb348aa3eb4cf6664eb6945,b83338dad338f5744fea735ae1372a992339f9841f6d08f81b14efe631ae6fd1,Go! Temakeria Express,Entradas ,29.5,RECIFE
Batata  Palito Geek 150g,00d5520becdea432c7ab814aa0d194eba623cff2c4eda3e84c8f740b5872f0e1,a0f2240b8c8bd40909410d882cd9dbb7583a5ce69cbbeaf37722727b634b72c0,Burger Geek,Porções,7.5,PORTO ALEGRE
Batata  Palito Geek 200g,00d5520becdea432c7ab814aa0d194eba623cff2c4eda3e84c8f740b5872f0e1,a0f2240b8c8bd40909410d882cd9dbb7583a5ce69cbbeaf37722727b634b72c0,Burger Geek,Porções,7.5,PORTO ALEGRE
Batata Geek 200g,00d5520becdea432c7ab814aa0d194eba623cff2c4eda3e84c8f740b5872f0e1,a0f2240b8c8bd40909410d882cd9dbb7583a5ce69cbbeaf37722727b634b72c0,Burger Geek,Porções,7.5,PORTO ALEGRE
Porção de Pão de Alho Poró ,00d62be2f851f73a4be5330ebb3a58d88ecbd2db299b14a8fc822ee86debdcd2,ce0498a9ee78e41b1d0afc80b0cf12b55265ba12dedde3a0fe52b97749bd427c,Ilha Do Espetinho,Porções ,16,SAO PAULO
Salada tamanho tradizionale ,00d639843b6dddb78c6629ecd9bd65614e2454c5c16bf5cb5dabeb9337aa3276,458c8e077d2e49d10d79e842a95972fd6ab67b9e9c35ad2f91d800328a5823d1,Spoleto - Itaim Bibi,Vá de salada!,26.5,SAO PAULO
Número 12 - Filé de Frango Empanado,00d63d2d736ed9b82dc365d5c23373c290e975e758828fd8fb37cbdfad26e092,0f49186949990e193e2e0496dbef79a4e1bfe77b092d08e5d8bc602811f0efcc,Teia's Restaurante,Quinta-feira,14,SAO PAULO
Yakissoba Pequeno,00d64a95771ebbd9199494f731534722b83e802014b1f4c52eddbaac16dde440,b9961810f668a16463c055216c9d8f82e58b6e562035f45d3642dc7ead1bfd50,Dukeo Temakeria E Restaurante,Yakissoba/Frango/Carne,29.5,SAO PAULO
Esfiha carne,00d67245a62f3a1d8b981f1654c7e31bb5fe9a8d6f8a9ab69bf3a3c23cfff593,648bd4d4aeb8c0c3bd3da5714bdcaa3b0481d765612748080c2a2b1cad3f6e46,Mister Luxo Fast Food,Esfiha,1.3,SAO PAULO
Bolinho de queijo,00d70498f46948a21342f538ddb75860045c47208006234ee672656c2b5accbf,6d36829da83d3177b38d03d7105be8850b701e4479062d35c7974f03220a4b7d,Esfiharia Merellis,Salgados,4.5,SAO PAULO
Sicília,00d72dd2336274ec7cee8f56490f1b9b8e2fed152a8200d473de63d6406439b8,288a2ec6ce959df841c9667fe432a38b0d19670732123329d8b4d365a36b0948,Mellows - Brownie & Burger,Burger Artesanal - 150gr 100% Fraldinha Angus,25.9,SAO PAULO
Calabresa Burguês,00d735085d5b064d03e08812c328ec07110d0fbe2c49620b52bb9c27e38f7a2e,fd295b101e96e7754a5a740c37e85991f91a227ef144d44b37eb0b32e94d2ab3,Seu Burguês,Sanduíches artesanais,23.9,RECIFE
Calabresa Burguês,00d735085d5b064d03e08812c328ec07110d0fbe2c49620b52bb9c27e38f7a2e,fd295b101e96e7754a5a740c37e85991f91a227ef144d44b37eb0b32e94d2ab3,Seu Burguês,Sanduíches artesanais,23.4,RECIFE
Burguer X Frango Salada,00d73c873566fb5b3ceb999bd677856b07bfc0fe9f0953a57ad34e239cb97fc8,0e45223de738f955e15973ca708df861465c3d8a7e5e7f9fc3c90c4d66b471df,Plate Dog,"Almoço por até R$ 22,90",18.9,SAO PAULO
Prato do Dia: Macarronada com Frango Assado,00d7d163076404ac4f7b3effc30b738ab6662c993993b7b85deff5efdb193a8f,48183ac1bb0c985cca28a855105af9c8cce423403627cf8c88dd7ff121b874ef,Espetos E Lanches Rainha,Marmitex à Preço Popular,13.99,SAO PAULO
Suco del valle 1 litro,00d83ba172e1436474e1c0480e4d4525f0310b2b7bb526605b935953368ac6f4,9f23dbcaea48b206062181feb6cd48d78252fd0a2c837f9d87c01ff4be3bdd4f,Boi Na Linha,Bebidas,8,PORTO ALEGRE
Vitamina de frutas 400ml,00d8605224f26da96cc4dcbb5329d84481a1fa0232afd7a4a14fbb8c3bf1346b,d87a36cf017716d8728605f4f20b034ab2181489ee6b45384198e3ea464737ef,Verdasca Café,Bebidas,9.5,SAO PAULO
107010 - petite box salmão e atum - 14 unidades,00d865d61eaa8e8111da5b8d84ff6550cbec7803375ec75318784c4983772653,5fd349062ed63a6d9fd58a51feb0f83ba10abbbccd89fb633ade552f3300e858,Sushichic - Zona Sul,Box,52,SAO PAULO
Meio Franguinho Piupiu (individual),00d86b7d752b4c7f64c50a937586759a35ebd7564163875265b59bb922669fbc,4a28400987a8ee8b446ef1965bbf2f362ad6708af6f43f608bc2114d219b0201,Cia Do Chopp,Pratos Executivos,29,RECIFE
"REFRI 2,5 LITROS",00d8ad3cfcad1e74538465ecd68e58a04f9424a033a202b1d98b91660ad2ce16,2d9e16d00d6abea454a6b6684aec7c9ceec50aa12a14bfb6537753ee42799a93,Art In Pizza - Porto Alegre,Bebidas ,9,PORTO ALEGRE
Worst burger - 250g,00d918a0f9ec421a4fc4c1cf765578ed30b216f7da7883019c506c1c9a937b1e,c4abeac0f155295b3ca8e0e76a9bb8689b5dc0b9f46093f83745c9c0df13e83c,Kev Dutch Bbq,Burguers - 250g,34,PORTO ALEGRE
coca-cola 600ml,00d92f16e8c06c9dcb732f663dd520c14fdd30f9eaf5b94b0aba1596d6696ff4,c2aa4b8e87f77b976326b57d14c0fc36958fcf4c33357add5751d21796cf4436,Comida Caseira Gordo E Magro,Bebidas,7,SAO PAULO
CONTRA FILÉ,00d9458adc68d321258c0bf671ec7f8b1a405198508cfe9a1815e388d15fa623,0d92e1eef9a7023bad30bf32e7e316079da442be263868faaec6a3dae368f4b2,Pizzaria O Gordo E O Magro,Lanches,11,SAO PAULO
Mix frango xadrez,00d964c7cf2cff693951821bade73e99a1f6e13877157de0e70782a8c6149099,9ca8e72fb75dd0a9a8d3caa43a21317cae29c579d0ae5052f5322c14c299b8da,China In Box - Jabaquara,China mix,31.09,SAO PAULO
Cento de  Mini Coxinhas de Frango - 100 unidades,00d98e97188e430ac39d1cfa9a710ed414d0cf173818e6d34adb9a94d51273b1,bfc44a5f593b1eb540787e63ebf680a8b212a06d3893dcf5eb653391da4c4ae9,Coxinha Do Parque,Mini Salgados ,49,RECIFE
Cento de  Mini Coxinhas de Frango - 100 unidades,00d98e97188e430ac39d1cfa9a710ed414d0cf173818e6d34adb9a94d51273b1,bfc44a5f593b1eb540787e63ebf680a8b212a06d3893dcf5eb653391da4c4ae9,Coxinha Do Parque,Mini Salgados ,59,RECIFE
Temaky shimeji,00d99d4f632039e5c338010b826eb72c1d08e89672e1c3631ef7382411fce4e4,8d5be13f81755530ccde865e98190159f1079d39e072f2a7beb1e89a66e06ca8,Jappa Sushi By Deliverycenter,Temakis,25,PORTO ALEGRE
AÇAI,00da0f0b2679a1bbc39f5c2b6783c57db5158f2904c80bdf7752153a3762269f,a3c0d62cd18042f2e32e7dc85696f19f7d292af0f5ab0bf59e1a367d51caf160,Rango Do Peba,SOBREMESA,7,SAO PAULO
114-contra filé do paulistano,00da1e66fe96229b4e248b701fd892ca967c5731249b7be507036de5870f51cf,3bd0663153a65297dd82bf5a26f6aa1a8a734409118b5782533bf734621ec867,Restaurante E Pizzaria Encontro De Minas,Pratos executivos,26,SAO PAULO
Mustang,00dae818f907899a6854fc52f6ef5e431407b9f095a64df80178e3094267abe2,fdc6d5a28556317763f07e2ffa9aa5d8f750708364abcb1b8153273491ea5ba8,Haven Burger,Burgers exclusivos,25,SAO PAULO
13 - batata frita com 3 molhos - serve 2 pessoas,00db36ea2cafab4f6e19212d4466058e715e3decfd20aa85817afcdd94f5edd7,f2f25a4960aea078eb09ff77b2b3c5f243d56a759a4ae922f35831b03bf7543e,Frangaria Do Sheik,Porção,9.99,SAO PAULO
Contra filet a cavalo,00db610488bc8e2251e210c77b1d0d033c30c5c425c422573a75980744f374f4,3255156680c14692e197b8b2bcec2e031a7ed9d92f47331fa1dca75347375045,Feijão De Corda Vila Joaniza,Carnes Grelhadas p/2 pessoas,60,SAO PAULO
Filé De Frango À Milanesa,00dbc090db45a3f5ad4971a4b99eb9b68cec4d8118f4e6d1c746a425d560b905,3d277468e413e3440a6200bf27b9e1f2342135b42f8c4a219add1bbc41b41f08,Familia Lobato,Refeições,20,SAO PAULO
Esfiha Premium de Quatro Queijos com Philadelphia,00dc25da8e007eed11b7a1ae21db0aef23f5ad08fd327588172c95b64ebf1422,8e9c7663c05eef18390f5d13b80128bb69f7770537ec96de62126fc582d36eb4,Habib's - São Judas,Esfihas e Salgados,3.2,SAO PAULO
Esfiha Premium de Quatro Queijos com Philadelphia,00dc25da8e007eed11b7a1ae21db0aef23f5ad08fd327588172c95b64ebf1422,bf83d421821aa105a631767aa2b1e3bd2c77308476eb5b1942dfcef5de46c99a,Habib's - Giovani Gronchi,Esfihas e Salgados,3.2,SAO PAULO
Promoção Pizza Casadinha com bebida (2 Pizzas + PET 2 litros ou suco 1 litro),00dc25da8e007eed11b7a1ae21db0aef23f5ad08fd327588172c95b64ebf1422,4ab9569c931c6e47c5ded7a87d160352ff32baa57aa994f4e6211c8e004580db,Habib's - Liberdade I,Promoções Especiais,47.8,SAO PAULO
